,Description,Total,Price
0,['仁恒河滨城(三期)精装修，心血和技术的结合，温馨居家缔造'],['3300'],['122386元/㎡']
1,['直面陆家嘴三件套 八佰伴 精装公寓 拎包入住 看房方便'],['375'],['39063元/㎡']
2,['接受置换。超便宜 学院气息浓厚 中高区适合居住 繁华商圈宜居'],['418'],['44783元/㎡']
3,['2017年次新房 近9号线醉白池 采光好 庐秀新苑 一梯两户'],['212'],['26993元/㎡']
4,['金丰苑近U天地，周围生活配套全，精装全送，拎包入住'],['174'],['26221元/㎡']
5,['房源采光好，南北通透，业主诚意出'],['1009'],['104495元/㎡']
6,['（新上笋盘）电梯三期精装大二房，接受置换，看房随时！'],['480'],['49388元/㎡']
7,['新上丨全明落地景观窗丨俯瞰城隍庙全景观丨陆家嘴三件套丨'],['1090'],['114256元/㎡']
8,['105标杆雅戈尔二期过会 3.2米层高定义绿色三星湖景洋房'],['257'],['32949元/㎡']
9,['副总力荐。送车位。送家电。南北通透。有地暖，全屋精装修。诚售'],['645'],['61758元/㎡']
10,['松江大学城地铁口 豪华装修 景观楼层'],['470'],['26858元/㎡']
11,['难道这个视野不值100W吗 低于市场价100w的一线江景房，'],['929'],['94816元/㎡']
12,['新出房源  边套亮厅 南北通透 业主急售 低于市场价20万！'],['185'],['26890元/㎡']
13,['近新天地 置换急降50万！南北通透 全明采光好 满五 带车位'],['745'],['83380元/㎡']
14,['永康城丹桂苑，2室，企业力荐，诚意出售，随时看房'],['240'],['30940元/㎡']
15,['房源采光好，南北通透，业主诚意出'],['1850'],['110541元/㎡']
16,['12月新上！苏州河畔，临水豪宅，低于市场1000W，送双车位'],['2200'],['110265元/㎡']
17,['家人们啦，这个房子真心便宜啊，丽华3楼2房，佣金灵活可谈！'],['550'],['61770元/㎡']
18,['海滨新城 83平2居 南北向精装修'],['200'],['24074元/㎡']
19,['大宁之光！人车分流带下沉式超大会所！品质大宁难寻对手！'],['1500'],['101896元/㎡']
20,['东外滩 2014年次新品质大三房 精装拎包 带固定车位！！！'],['1070'],['77173元/㎡']
21,['稀~缺！必看好房！再次降价！房型正气！采光极好！花园式小区'],['306'],['46210元/㎡']
22,['必买房源丨近地铁丨高性价比丨配套成熟'],['600'],['70160元/㎡']
23,['南北通透，117平地铁房豪装没入住，边套带长廊'],['478'],['40723元/㎡']
24,['天选打工人！带您实地看房！爱家豪庭168平高区四房！只此一套'],['1520'],['90477元/㎡']
25,['小户型中的战斗机，近地铁，精装修带产权车位，看房有钥匙，'],['368'],['75939元/㎡']
26,['16号线地铁口 房东置换急售 婚房装修 送品牌家具家电有钥匙'],['260'],['33334元/㎡']
27,['精装修三房  领包入住  满五    看中可谈'],['350'],['35544元/㎡']
28,['电梯品质3房丨两南一北精装 瑞南新苑 满五   中高层采光好'],['1700'],['118882元/㎡']
29,['曹路地铁口300米，恒悦广场周边，小区对面三甲医院，配套齐全'],['295'],['42575元/㎡']
30,['房东移民 急售 近一号线 精装修 带车位  远洋悦庭'],['720'],['53121元/㎡']
31,['上车盘近万达，来电即享优惠10W，配套成熟    看房提供专'],['200'],['25975元/㎡']
32,['新江湾城 适合居住的小区！独特的豪宅户型！依山傍水！带车位'],['2090'],['94191元/㎡']
33,['满五少税 采光无遮挡 近附属   首付低 看房有钥匙'],['205'],['36029元/㎡']
34,['大两房，一梯两户，小区中心位置，采光充足，精装修'],['832'],['79163元/㎡']
35,['（12月New）新上急售丶底价我有 | 20准新豪装丶拎包住'],['2030'],['101689元/㎡']
36,['推窗即见景，视野开阔，景观楼层，安置安静'],['888'],['80348元/㎡']
37,['抓住机会才能买到好房子，切勿错过，精装拎包入住，欢迎致电咨询'],['90'],['14021元/㎡']
38,['追求品质的生活，大气的户型，优雅的环境，您值得拥有！'],['1700'],['94303元/㎡']
39,['送地下产权车位小区中心花园位置，得房率超高，看房随时有钥匙！'],['435'],['36546元/㎡']
40,['满五  地铁房金色航城池鑫苑诚意出售有钥匙看房方便'],['338'],['36189元/㎡']
41,['什么你没看错 就是这个价 看了不后悔，这房子香 真香'],['280'],['32559元/㎡']
42,['松江区性价比 的好房 未婚能买不限H籍 精装带车位 可公积金'],['50.5'],['10100元/㎡']
43,['乔爱别墅二期独栋，花园1000平集中朝南环绕，精装修法式风格'],['1500'],['47319元/㎡']
44,['2室2厅 满五  住房 朝南 74平 看房方便 有钥匙'],['280'],['37384元/㎡']
45,['降价20万急抛！产证齐全正常过户！可贷8成！来电再减5万'],['133'],['19499元/㎡']
46,['新出笋盘！满五 朝南 采光足 楼层高 视野好 业主诚意出'],['260'],['35902元/㎡']
47,['好房难得，房源真实，  经纪人竭诚为您服务'],['303'],['37408元/㎡']
48,['非常正气，楼层好采光佳，让您居住非常舒适！'],['1602'],['95358元/㎡']
49,['业主已买急售，户型方正，朝南带阳台，地段繁华，出门九号线~！'],['798'],['89684元/㎡']
50,['已连续降价120W  大连路地铁口，房东急抛！！'],['610'],['63768元/㎡']
51,['满五  住房 滨浦新苑九村 南北通透 房东急置换 诚意买房'],['400'],['38991元/㎡']
52,['主卧朝南，一梯两户，小区中心位置，精装修'],['256'],['21366元/㎡']
53,['降价出售 虹桥万博朝南1室2厅全明户型 中心位置中间楼层'],['780'],['114892元/㎡']
54,['房源采光好，南北通透，业主诚意出'],['780'],['46576元/㎡']
55,['新上精装三居室 高区全明全亮景观超好 带车位出售！'],['1340'],['85123元/㎡']
56,['尊客留步！！此房本周必卖  户型正气 小区中央 性价比高'],['160'],['27798元/㎡']
57,['南北通透 82平 精装修 满五  住房 居家自住 保养好'],['320'],['38788元/㎡']
58,['小区前排！户型正气！采光好！楼层好！随时看房！大居中心位子！'],['225'],['27503元/㎡']
59,['上海联排院子！上城院子 一院一传奇！一墅一天下！'],['800'],['62993元/㎡']
60,['和龙新苑南北通透两室两厅，近地铁'],['375'],['48639元/㎡']
61,['业主置换急售，准电梯房全明户型，得房率高满五，19号线建设中'],['345'],['55646元/㎡']
62,['招商海德名门(别墅)4室3厅4卫，国际大师设计、豪装送家具。'],['1750'],['64815元/㎡']
63,['房源采光好，南北通透，业主诚意出'],['400'],['40025元/㎡']
64,['近地铁，河景房，中间楼层，房型正气，商圈配套全，交通便利'],['510'],['42886元/㎡']
65,['全新装修 爱心小窝 地段成熟 小吃街地铁菜场200米诚意出售'],['193'],['65071元/㎡']
66,['急急急卖房源采光好，南北通透，业主诚意出'],['320'],['45205元/㎡']
67,"['精装南北通透两居室,楼层佳户型正,房东诚售']",['320'],['37098元/㎡']
68,['击穿价格底线，地铁口的复式，电梯协议已签，房东置换急售'],['280'],['59272元/㎡']
69,['祥美苑全明户型两居室，低总价，有钥匙'],['320'],['36041元/㎡']
70,['召稼楼旁 两房78平 南北通 双阳台 电梯房 满五  '],['336'],['42962元/㎡']
71,['房东挂牌急售，附赠二十平花园花园，再送二十万豪华精装拎包入住'],['212'],['53000元/㎡']
72,['居家自住 视野无遮挡 价格可议 房东急置换 诚心卖 保养好'],['240'],['34955元/㎡']
73,['我是房东本人，含泪亏本卖自己住的房子'],['190'],['20350元/㎡']
74,['鹭岛华庭西苑 南北通透 2室2厅 79平 看房方便 有钥匙'],['188'],['23542元/㎡']
75,['近地铁，房型正气，采光充足，精装修，周边配套齐全，交通便利'],['460'],['48396元/㎡']
76,['绿地长兴新苑(南区) 满五 2室1厅 79平 居家自住 保养'],['193'],['24366元/㎡']
